ID,Title,Rank,Score,ScoredBy,Popularity,Members,Favorites,Season,Episodes
1543,Yoake Mae yori Ruriiro na: Crescent Love,3029,7.19,12972,2511,29920,129,107,12
2409,Gokudou-kun Manyuuki,1530,7.56,4409,4066,11073,109,77,26
4262,Koihime†Musou,4495,6.82,15834,2150,39334,116,114,12
32526,Love Live! Sunshine!!,1731,7.5,51374,987,109521,2276,146,13
3230,Druaga no Tou: The Aegis of Uruk,2697,7.26,41478,1116,94290,206,113,12
200,Tenshi na Konamaiki,1612,7.54,7175,3106,20120,122,89,50
31147,Concrete Revolutio: Choujin Gensou,4740,6.77,19524,1500,67281,184,143,13
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",2129,7.4,152451,329,280741,1393,135,10
96,Mobile Fighter G Gundam,1426,7.6,26109,1885,48426,800,57,49
1807,Prism Ark,5999,6.52,7366,3155,19616,33,111,12
5454,Yoku Wakaru Gendai Mahou,6104,6.5,7241,3037,20999,26,118,12
30484,Steins;Gate 0,82,8.56,140892,193,397997,6063,153,23
247,Harukanaru Toki no Naka de: Hachiyou Shou,3272,7.12,5720,3225,18674,115,99,26
444,Maria-sama ga Miteru: Haru,996,7.76,9604,3152,19706,68,98,13
888,Megami Kouhosei,6129,6.49,8625,3323,17616,54,80,12
1127,UFO Princess Valkyrie,4482,6.83,5563,3581,15264,44,90,12
3750,Maria-sama ga Miteru 4th,731,7.89,6968,3534,15691,77,116,13
4548,Yozakura Quartet,4226,6.89,26720,1024,104685,169,115,12
4224,Toradora!,198,8.36,668071,14,1111864,41307,115,25
59,Chobits,1722,7.5,189142,249,350792,3536,89,26
34561,Re:Creators,1318,7.64,102213,339,278331,2245,149,22
30721,Hacka Doll The Animation,6167,6.48,12277,2330,34218,50,143,13
36726,Yuragi-sou no Yuuna-san,2907,7.22,40165,952,114805,406,154,12
6008,Jewelpet,4791,6.76,1606,4977,6757,37,117,52
271,Gad Guard,4785,6.76,3534,4127,10716,18,93,26
1156,I: Wish You Were Here,7794,6.13,3257,4725,7732,11,87,4
2204,Karakurizoushi Ayatsuri Sakon,1793,7.48,2260,4554,8487,47,79,26
35241,Konohana Kitan,1257,7.66,27156,1265,83287,411,151,12
35062,Mahoutsukai no Yome,332,8.19,164210,146,455957,6272,151,24
379,Heppoko Jikken Animation Excel♥Saga,1590,7.54,37178,1220,85347,896,79,26
16005,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,1381,7.62,42410,1077,98143,325,132,12
14227,Tonari no Kaibutsu-kun,1233,7.67,327862,93,574015,4560,131,13
17731,Ketsuekigata-kun!,5202,6.68,3723,4572,8410,16,133,12
